3D Run ID,Shift,h,swA,swB,tet
326,4,2.4,3.26667,5.53333,1.32645
327,4,4.3,3.26667,5.53333,1.32645
328,4,6.2,3.26667,5.53333,1.32645
329,4,8.1,3.26667,5.53333,1.32645
330,4,10,3.26667,5.53333,1.32645
331,4,0.5,3.26667,7.8,1.32645
332,4,2.4,3.26667,7.8,1.32645
333,4,4.3,3.26667,7.8,1.32645
334,4,6.2,3.26667,7.8,1.32645
335,4,8.1,3.26667,7.8,1.32645
336,4,10,3.26667,7.8,1.32645
337,4,0.5,5.53333,1,1.32645
338,4,2.4,5.53333,1,1.32645
339,4,4.3,5.53333,1,1.32645
340,4,6.2,5.53333,1,1.32645
341,4,8.1,5.53333,1,1.32645
342,4,10,5.53333,1,1.32645
343,4,0.5,5.53333,3.26667,1.32645
344,4,2.4,5.53333,3.26667,1.32645
345,4,4.3,5.53333,3.26667,1.32645
346,4,6.2,5.53333,3.26667,1.32645
347,4,8.1,5.53333,3.26667,1.32645
348,4,10,5.53333,3.26667,1.32645
349,4,0.5,5.53333,5.53333,1.32645
350,4,2.4,5.53333,5.53333,1.32645
351,4,4.3,5.53333,5.53333,1.32645
352,4,6.2,5.53333,5.53333,1.32645
353,4,8.1,5.53333,5.53333,1.32645
354,4,10,5.53333,5.53333,1.32645
355,4,0.5,5.53333,7.8,1.32645
356,4,2.4,5.53333,7.8,1.32645
357,4,4.3,5.53333,7.8,1.32645
358,4,6.2,5.53333,7.8,1.32645
359,4,8.1,5.53333,7.8,1.32645
360,4,10,5.53333,7.8,1.32645
361,4,0.5,7.8,1,1.32645
362,4,2.4,7.8,1,1.32645
363,4,4.3,7.8,1,1.32645
364,4,6.2,7.8,1,1.32645
365,4,8.1,7.8,1,1.32645
366,4,10,7.8,1,1.32645
367,4,0.5,7.8,3.26667,1.32645
368,4,2.4,7.8,3.26667,1.32645
369,4,4.3,7.8,3.26667,1.32645
370,4,6.2,7.8,3.26667,1.32645
371,4,8.1,7.8,3.26667,1.32645
372,4,10,7.8,3.26667,1.32645
373,4,0.5,7.8,5.53333,1.32645
374,4,2.4,7.8,5.53333,1.32645
375,4,4.3,7.8,5.53333,1.32645
376,4,6.2,7.8,5.53333,1.32645
377,4,8.1,7.8,5.53333,1.32645
378,4,10,7.8,5.53333,1.32645
379,4,0.5,7.8,7.8,1.32645
380,4,2.4,7.8,7.8,1.32645
381,4,4.3,7.8,7.8,1.32645
382,4,6.2,7.8,7.8,1.32645
383,4,8.1,7.8,7.8,1.32645
384,4,10,7.8,7.8,1.32645
385,4,0.5,1,1,1.36136
386,4,2.4,1,1,1.36136
387,4,4.3,1,1,1.36136
388,4,6.2,1,1,1.36136
389,4,8.1,1,1,1.36136
390,4,10,1,1,1.36136
