3D Run ID,Shift,swA,swB,tet
634,2.5,3.57143,2.34286,1.39626
635,2.5,3.57143,2.95714,1.39626
636,2.5,3.57143,3.57143,1.39626
637,2.5,3.57143,4.18571,1.39626
638,2.5,3.57143,4.8,1.39626
639,2.5,4.18571,0.5,1.39626
640,2.5,4.18571,1.11429,1.39626
641,2.5,4.18571,1.72857,1.39626
642,2.5,4.18571,2.34286,1.39626
643,2.5,4.18571,2.95714,1.39626
644,2.5,4.18571,3.57143,1.39626
645,2.5,4.18571,4.18571,1.39626
646,2.5,4.18571,4.8,1.39626
647,2.5,4.8,0.5,1.39626
648,2.5,4.8,1.11429,1.39626
649,2.5,4.8,1.72857,1.39626
650,2.5,4.8,2.34286,1.39626
651,2.5,4.8,2.95714,1.39626
652,2.5,4.8,3.57143,1.39626
653,2.5,4.8,4.18571,1.39626
654,2.5,4.8,4.8,1.39626
655,3,1,1,1.22173
656,3,1,1.68571,1.22173
657,3,1,2.37143,1.22173
658,3,1,3.05714,1.22173
659,3,1,3.74286,1.22173
660,3,1,4.42857,1.22173
661,3,1,5.11429,1.22173
662,3,1,5.8,1.22173
663,3,1.68571,1,1.22173
664,3,1.68571,1.68571,1.22173
665,3,1.68571,2.37143,1.22173
666,3,1.68571,3.05714,1.22173
667,3,1.68571,3.74286,1.22173
668,3,1.68571,4.42857,1.22173
669,3,1.68571,5.11429,1.22173
670,3,1.68571,5.8,1.22173
671,3,2.37143,1,1.22173
672,3,2.37143,1.68571,1.22173
673,3,2.37143,2.37143,1.22173
674,3,2.37143,3.05714,1.22173
675,3,2.37143,3.74286,1.22173
676,3,2.37143,4.42857,1.22173
677,3,2.37143,5.11429,1.22173
678,3,2.37143,5.8,1.22173
679,3,3.05714,1,1.22173
680,3,3.05714,1.68571,1.22173
681,3,3.05714,2.37143,1.22173
682,3,3.05714,3.05714,1.22173
683,3,3.05714,3.74286,1.22173
684,3,3.05714,4.42857,1.22173
685,3,3.05714,5.11429,1.22173
686,3,3.05714,5.8,1.22173
687,3,3.74286,1,1.22173
688,3,3.74286,1.68571,1.22173
689,3,3.74286,2.37143,1.22173
690,3,3.74286,3.05714,1.22173
691,3,3.74286,3.74286,1.22173
692,3,3.74286,4.42857,1.22173
693,3,3.74286,5.11429,1.22173
694,3,3.74286,5.8,1.22173
695,3,4.42857,1,1.22173
696,3,4.42857,1.68571,1.22173
697,3,4.42857,2.37143,1.22173
698,3,4.42857,3.05714,1.22173
699,3,4.42857,3.74286,1.22173
700,3,4.42857,4.42857,1.22173
701,3,4.42857,5.11429,1.22173
702,3,4.42857,5.8,1.22173
703,3,5.11429,1,1.22173
704,3,5.11429,1.68571,1.22173
